"2009","Gullkarfi","Sebastes norvegicus","0.26","2.07","3.36","5.35","7.93","6.52","4.58","2.29","2.33","1.46","0.76","1.73","6.51","0.94","0.63","0.52","0.29","2.25","0.09","0.12","0.18","0.09","0.34","0.3"
"2010","Gullkarfi","Sebastes norvegicus","0.15","0.75","4.24","4.72","4.32","6.81","5.01","3.36","1.52","1.35","0.93","0.69","1.18","4.78","0.72","0.68","0.47","0.54","1.85","0.18","0.25","0.11","0.11","0.39"
"2011","Gullkarfi","Sebastes norvegicus","0.38","1.25","3.1","7.92","8.67","6.75","7.87","4.24","2.73","1.39","0.97","0.59","0.64","0.86","4.22","0.73","0.56","0.16","0.12","1.13","0.05","0.16","0.03","0.11"
"2012","Gullkarfi","Sebastes norvegicus","0.19","1.31","3.09","5.8","10","10","5.26","5.57","2.99","1.71","0.77","0.78","0.45","0.64","0.62","3.11","0.39","0.23","0.2","0.24","1.2","0.16","0.06","0.33"
"2013","Gullkarfi","Sebastes norvegicus","0.1","1.21","4.34","6.52","8.99","13","8.93","4.85","4.99","3.38","1.8","1.13","0.84","0.49","0.44","0.63","3.12","0.22","0.18","0.19","0.1","0.75","0.03","0.32"
"2014","Gullkarfi","Sebastes norvegicus","0.63","1.11","3.27","10","9.95","7.91","7.31","5.64","3.54","2.77","1.93","1.17","0.44","0.87","0.45","0.34","0.38","2.37","0.15","0.15","0.15","0.05","0.55","0.04"
"2015","Gullkarfi","Sebastes norvegicus","0.03","1.27","1.87","5.38","11","9.46","6.77","6.46","4.99","2.98","2.48","1.46","0.66","1.02","0.24","0.23","0.16","0.32","1.52","0.18","0.15","0.16","0.09","0.55"
"2016","Gullkarfi","Sebastes norvegicus","0.12","1.31","4.7","5.38","11","12","8","5.48","4.43","2.86","2.72","1.91","1.59","0.53","0.42","0.3","0.18","0.21","0.24","1.08","0.14","0.02","0.03","0.67"
"2017","Gullkarfi","Sebastes norvegicus","0","0.17","1.65","7.01","4.95","9.03","10","5.88","4.13","3.7","3.02","1.76","1.35","1.17","0.84","0.41","0.5","0.28","0.26","0.11","0.93","0.08","0.17","0.7"
"2018","Gullkarfi","Sebastes norvegicus","0","0.11","0.33","3.39","6.72","6.15","7.54","8.36","4.4","3.24","2.53","2.4","1.17","1.27","1.14","0.59","0.48","0.21","0.35","0.14","0.03","1.33","0.01","0.92"
"2019","Gullkarfi","Sebastes norvegicus","0.47","0.25","0.11","1.68","6.28","7.61","4.71","6.09","5.25","3.64","2.13","2.03","1.29","1.13","1.02","0.37","0.43","0.16","0.07","0.18","0.26","0.07","0.85","0.92"
"2020","Gullkarfi","Sebastes norvegicus","0","0.87","0.44","0.8","2.8","5.73","4.32","3.02","6.96","4.4","1.78","1.13","0.89","1.19","0.54","0.68","0.38","0.4","0.08","0.04","0.02","0.09","0.11","1.17"
"2021","Gullkarfi","Sebastes norvegicus","0.06","0.06","1.92","1.03","0.46","2.78","4.37","4.71","3.5","4.82","4.22","1.82","0.97","1.23","0.95","0.58","0.72","0.59","0.15","0.34","0.01","0.16","0.11","1.36"
